Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Requires Shipping,Variant Taxable,Image Src,Image Position,Image Alt Text,Status
balda-jarandana,Balda Jarandana — Balda de ducha sin taladrar,"<p><strong>Tu champú, a la altura de la mano. Sin agujeros.</strong></p><p>Balda de aluminio para la ducha que se instala con adhesivo, sin taladro ni herramientas. Pensada para pisos de alquiler y para quien no quiere estropear el azulejo.</p><ul><li><strong>Sin taladrar:</strong> se pega sobre superficies lisas (azulejo, cristal, metal).</li><li><strong>Aluminio:</strong> no se oxida con la humedad del baño.</li><li><strong>Carga declarada por el fabricante:</strong> hasta 10 kg en superficie lisa y respetando el secado.</li></ul><h3>Cómo se instala</h3><ol><li>Limpia el azulejo con alcohol y sécalo bien.</li><li>Pega y presiona 30 segundos.</li><li><strong>Espera 24 h</strong> antes de mojarla o cargarla.</li></ol><p><em>No apta para gotelé, pintura, madera sin lacar ni juntas.</em></p><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 7-15 días laborables.</p>",jarandana,Baño,"ducha, sin-taladrar, hero, proveedor:aliexpress-1005007286601018",FALSE,Color,Negro mate,JAR-BALDA-NEGRO,deny,manual,24.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S568cdff0e7da4165a4b6ca1d1e9eb186V.jpg,1,Balda Jarandana — Balda de ducha sin taladrar,draft
balda-jarandana,,,,,,,,Blanco,JAR-BALDA-BLANCO,deny,manual,24.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S3c3dc3c441834ad88cf360c0cd772534y.jpg,2,Balda Jarandana — Balda de ducha sin taladrar,
balda-jarandana,,,,,,,,Gris,JAR-BALDA-GRIS,deny,manual,24.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S9c53ead107c1484391e299932a632cf7g.jpg,3,Balda Jarandana — Balda de ducha sin taladrar,
balda-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Se6b454f94959446fb6af8e098d5ec5afB.jpg,4,Balda Jarandana — Balda de ducha sin taladrar,
balda-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S5ded12286f104a18a67950ddea8c1b9cD.jpg,5,Balda Jarandana — Balda de ducha sin taladrar,
balda-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S9b318c97c9dd4701adb71324027968edR.jpg,6,Balda Jarandana — Balda de ducha sin taladrar,
rasqueta-jarandana,Rasqueta Jarandana — Rasqueta de silicona para mampara con soporte,"<p><strong>20 segundos que te ahorran el sábado.</strong></p><p>Rasqueta de silicona para quitar el agua de la mampara después de ducharte, antes de que se seque y deje marcas de cal.</p><ul><li><strong>Hoja de silicona</strong> que no raya el cristal.</li><li><strong>Soporte incluido</strong> que se cuelga del borde de la mampara (cristal de hasta 12 mm), sin agujeros.</li><li>También sirve para espejos, azulejos y ventanas.</li></ul><p><em>No es un producto químico antical: quita el agua para que no se seque sobre el cristal.</em></p><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 7-15 días laborables.</p>",jarandana,Baño,"ducha, cal, mampara, proveedor:aliexpress-1005006352958855",FALSE,Title,Default Title,JAR-RASQUETA,deny,manual,12.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S2b206792b37b439fac76a0283b89083b3.jpg,1,Rasqueta Jarandana — Rasqueta de silicona para mampara con soporte,draft
rasqueta-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S12e5735aae2e4aba963ea50d66d8c83f0.jpg,2,Rasqueta Jarandana — Rasqueta de silicona para mampara con soporte,
rasqueta-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S6d27f406e8e44f7b8fa62f82d6fbc9f1I.jpg,3,Rasqueta Jarandana — Rasqueta de silicona para mampara con soporte,
rasqueta-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Sdd9916611fc942619999976ffcf75260P.jpg,4,Rasqueta Jarandana — Rasqueta de silicona para mampara con soporte,
rasqueta-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/S76005891ff4d4a57b11b055c169ff5e7P.jpg,5,Rasqueta Jarandana — Rasqueta de silicona para mampara con soporte,
ganchos-jarandana,Ganchos Jarandana — Ganchos adhesivos de acero para toalla,"<p><strong>La toalla, por fin, en su sitio.</strong></p><p>Ganchos de acero inoxidable con adhesivo extra fuerte. Sin taladro, ideales para pisos de alquiler.</p><ul><li><strong>Acero inoxidable:</strong> resistentes a la humedad.</li><li><strong>Sin agujeros:</strong> para toallas, albornoces, esponjas o paños de cocina.</li></ul><h3>Cómo se instalan</h3><ol><li>Limpia y seca bien la superficie lisa.</li><li>Pega y presiona 30 segundos.</li><li>Espera 24 h antes de colgar peso.</li></ol><p><strong>Envío:</strong> con seguimiento. Plazo estimado: 7-15 días laborables.</p>",jarandana,Baño,"ducha, sin-taladrar, ganchos, proveedor:aliexpress-3256808858857869",FALSE,Pack,2 ganchos,JAR-GANCHOS-2,deny,manual,9.90,TRUE,TRUE,https://ae01.alicdn.com/kf/S6df84a25eff444b79eafe45a16da7580F.jpg,1,Ganchos Jarandana — Ganchos adhesivos de acero para toalla,draft
ganchos-jarandana,,,,,,,,4 ganchos,JAR-GANCHOS-4,deny,manual,16.90,TRUE,TRUE,https://ae01.alicdn.com/kf/Saa5eac72cbe84141b31844b6f670d765I.jpg,2,Ganchos Jarandana — Ganchos adhesivos de acero para toalla,
ganchos-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Se7d0589a43124695a48caf706c6e5bfcA.jpg,3,Ganchos Jarandana — Ganchos adhesivos de acero para toalla,
ganchos-jarandana,,,,,,,,,,,,,,,https://ae01.alicdn.com/kf/Se270b297474c413cac678ff999a562a24.jpg,4,Ganchos Jarandana — Ganchos adhesivos de acero para toalla,
